
Running opt2 with X=40
nproc:40-procno:6-Time for pingpong: 0.343 (microsec)
nproc:40-procno:19-Time for pingpong: 0.347 (microsec)
nproc:40-procno:2-Time for pingpong: 0.345 (microsec)
nproc:40-procno:1-Time for pingpong: 0.354 (microsec)
nproc:40-procno:16-Time for pingpong: 0.351 (microsec)
nproc:40-procno:18-Time for pingpong: 0.358 (microsec)
nproc:40-procno:10-Time for pingpong: 0.355 (microsec)
nproc:40-procno:11-Time for pingpong: 0.369 (microsec)
nproc:40-procno:12-Time for pingpong: 0.356 (microsec)
nproc:40-procno:13-Time for pingpong: 0.346 (microsec)
nproc:40-procno:4-Time for pingpong: 0.363 (microsec)
nproc:40-procno:7-Time for pingpong: 0.381 (microsec)
nproc:40-procno:9-Time for pingpong: 0.352 (microsec)
nproc:40-procno:15-Time for pingpong: 0.350 (microsec)
nproc:40-procno:14-Time for pingpong: 0.361 (microsec)
nproc:40-procno:17-Time for pingpong: 0.356 (microsec)
nproc:40-procno:5-Time for pingpong: 0.386 (microsec)
nproc:40-procno:0-Time for pingpong: 0.731 (microsec)
nproc:40-procno:8-Time for pingpong: 0.731 (microsec)
nproc:40-procno:3-Time for pingpong: 0.729 (microsec)
