L1-dcache-loads,fp-128b_packed_double,fp-128b_packed_single,fp-256b_packed_double,fp-256b_packed_single,fp-scalar_double,fp-scalar_single,time_elapsed,time_user,time_sys,kernel,resolution
16058456601.0,929955999.0,0.0,0.0,0.0,16710670116.0,0.0,18.599865816,11.256004,7.121472,euler,128
6716978069.0,7304380419.0,0.0,0.0,0.0,9065454922.0,0.0,10.088044306,9.163317,0.700253,gravity,128
13675630785.0,684938043.0,0.0,0.0,0.0,17217258228.0,0.0,8.950048721,8.841492,0.015995,euler,16
6646254635.0,4027084803.0,0.0,0.0,0.0,7638744518.0,0.0,6.206973281,6.12034,0.012,gravity,16
24033349104.0,3274702875.0,0.0,0.0,0.0,23482490636.0,0.0,28.779501082,17.814401,10.35507,euler,256
12906536811.0,12331253763.0,0.0,0.0,0.0,15044707006.0,0.0,21.401467112,16.856579,3.701005,gravity,256
14777780457.0,667678317.0,0.0,0.0,0.0,16542656232.0,0.0,11.811622209,9.142338,2.58066,euler,32
6075423529.0,4997775363.0,0.0,0.0,0.0,7733145956.0,0.0,6.742373567,6.642634,0.012011,gravity,32
79809429561.0,23759683593.0,0.0,0.0,0.0,70019908592.0,0.0,109.305818866,66.919704,37.425257,euler,512
58216871941.0,44291850243.0,0.0,0.0,0.0,55265187544.0,0.0,102.987476631,72.170882,24.893272,gravity,512
14646577664.0,684049617.0,0.0,0.0,0.0,16270354952.0,0.0,16.014849706,10.937764,4.921194,euler,64
5958033724.0,5994184707.0,0.0,0.0,0.0,8051222296.0,0.0,7.590412718,7.439671,0.051913,gravity,64
