resolution,kernel,GFLOPS,GBpSEC,AI
128,euler,1.916873,226.0,0.008481738938053098
128,gravity,4.852295,224.0,0.021662031249999998
16,euler,4.896176,226.0,0.021664495575221238
16,gravity,4.839837,224.0,0.02160641517857143
256,euler,1.906676,224.0,0.00851194642857143
256,gravity,3.867449,226.0,0.017112606194690266
32,euler,2.656359,226.0,0.011753800884955753
32,gravity,5.690762,226.0,0.02518036283185841
512,euler,1.693823,228.0,0.007429048245614036
512,gravity,2.579237,224.0,0.011514450892857143
64,euler,2.175986,226.0,0.009628256637168141
64,gravity,6.022634,224.0,0.02688675892857143
