[GravityCollapse] Using gravity solver method = cooley_tukey
[GravityCollapse] Gravity solver completed in 0.00411742 seconds.
[GravityCollapse] Uniform-sphere potential check:
   L₁ = 7.80964e+14, L₂ = 8.53107e+14 (over 32768 cells)
Gravity is ENABLED, G: 6.67e-08
CFL=0.5, sound_crossings=25.6
Initial max wave speed= 0.748331, crossingTime= 2.67261e+11, totalTime= 6.84189e+12
HDF5 file written to: agoge_init.h5
Step=2, time=8.35191e+09/6.84189e+12, dt=4.17596e+09
Step=4, time=1.67038e+10/6.84189e+12, dt=4.17596e+09
Step=6, time=2.50557e+10/6.84189e+12, dt=4.17596e+09
Step=8, time=3.34077e+10/6.84189e+12, dt=4.17596e+09
Step=10, time=4.17596e+10/6.84189e+12, dt=4.17596e+09
Step=12, time=5.01115e+10/6.84189e+12, dt=4.17596e+09
Step=14, time=5.84634e+10/6.84189e+12, dt=4.17596e+09
Step=16, time=6.68153e+10/6.84189e+12, dt=4.17596e+09
Step=18, time=7.51672e+10/6.84189e+12, dt=4.17596e+09
Step=20, time=8.35191e+10/6.84189e+12, dt=4.17596e+09
Step=22, time=9.18711e+10/6.84189e+12, dt=4.17596e+09
Step=24, time=1.00223e+11/6.84189e+12, dt=4.17596e+09
Step=26, time=1.08575e+11/6.84189e+12, dt=4.17596e+09
Step=28, time=1.16927e+11/6.84189e+12, dt=4.17596e+09
Step=30, time=1.25279e+11/6.84189e+12, dt=4.17596e+09
Step=32, time=1.33631e+11/6.84189e+12, dt=4.17596e+09
Step=34, time=1.41983e+11/6.84189e+12, dt=4.17596e+09
Step=36, time=1.50334e+11/6.84189e+12, dt=4.17596e+09
Step=38, time=1.58686e+11/6.84189e+12, dt=4.17596e+09
Step=40, time=1.67038e+11/6.84189e+12, dt=4.17596e+09
Step=42, time=1.7539e+11/6.84189e+12, dt=4.17596e+09
Step=44, time=1.83742e+11/6.84189e+12, dt=4.17596e+09
Step=46, time=1.92094e+11/6.84189e+12, dt=4.17596e+09
Step=48, time=2.00446e+11/6.84189e+12, dt=4.17596e+09
Step=50, time=2.08798e+11/6.84189e+12, dt=4.17596e+09
Step=52, time=2.1715e+11/6.84189e+12, dt=4.17596e+09
Step=54, time=2.25502e+11/6.84189e+12, dt=4.17596e+09
Step=56, time=2.33854e+11/6.84189e+12, dt=4.17596e+09
Step=58, time=2.42206e+11/6.84189e+12, dt=4.17596e+09
Step=60, time=2.50557e+11/6.84189e+12, dt=4.17596e+09
Step=62, time=2.58909e+11/6.84189e+12, dt=4.17596e+09
Step=64, time=2.67261e+11/6.84189e+12, dt=4.17596e+09
Step=66, time=2.75613e+11/6.84189e+12, dt=4.17596e+09
Step=68, time=2.83965e+11/6.84189e+12, dt=4.17596e+09
Step=70, time=2.92317e+11/6.84189e+12, dt=4.17596e+09
Step=72, time=3.00669e+11/6.84189e+12, dt=4.17596e+09
Step=74, time=3.09021e+11/6.84189e+12, dt=4.17596e+09
Step=76, time=3.17373e+11/6.84189e+12, dt=4.17596e+09
Step=78, time=3.25725e+11/6.84189e+12, dt=4.17596e+09
Step=80, time=3.34077e+11/6.84189e+12, dt=4.17596e+09
Step=82, time=3.42428e+11/6.84189e+12, dt=4.17596e+09
Step=84, time=3.5078e+11/6.84189e+12, dt=4.17596e+09
Step=86, time=3.59132e+11/6.84189e+12, dt=4.17596e+09
Step=88, time=3.67484e+11/6.84189e+12, dt=4.17596e+09
Step=90, time=3.75836e+11/6.84189e+12, dt=4.17596e+09
Step=92, time=3.84188e+11/6.84189e+12, dt=4.17596e+09
Step=94, time=3.9254e+11/6.84189e+12, dt=4.17596e+09
Step=96, time=4.00892e+11/6.84189e+12, dt=4.17596e+09
Step=98, time=4.09244e+11/6.84189e+12, dt=4.17596e+09
Step=100, time=4.17596e+11/6.84189e+12, dt=4.17596e+09
Step=102, time=4.25948e+11/6.84189e+12, dt=4.17596e+09
Step=104, time=4.343e+11/6.84189e+12, dt=4.17596e+09
Step=106, time=4.42651e+11/6.84189e+12, dt=4.17596e+09
Step=108, time=4.51003e+11/6.84189e+12, dt=4.17596e+09
Step=110, time=4.59355e+11/6.84189e+12, dt=4.17596e+09
Step=112, time=4.67707e+11/6.84189e+12, dt=4.17596e+09
Step=114, time=4.76059e+11/6.84189e+12, dt=4.17596e+09
Step=116, time=4.84411e+11/6.84189e+12, dt=4.17596e+09
Step=118, time=4.92763e+11/6.84189e+12, dt=4.17596e+09
Step=120, time=5.01115e+11/6.84189e+12, dt=4.17596e+09
Step=122, time=5.09467e+11/6.84189e+12, dt=4.17596e+09
Step=124, time=5.17819e+11/6.84189e+12, dt=4.17596e+09
Step=126, time=5.26171e+11/6.84189e+12, dt=4.17596e+09
Step=128, time=5.34522e+11/6.84189e+12, dt=4.17596e+09
Step=130, time=5.42874e+11/6.84189e+12, dt=4.17596e+09
Step=132, time=5.51226e+11/6.84189e+12, dt=4.17596e+09
Step=134, time=5.59578e+11/6.84189e+12, dt=4.17596e+09
Step=136, time=5.6793e+11/6.84189e+12, dt=4.17596e+09
Step=138, time=5.76282e+11/6.84189e+12, dt=4.17596e+09
Step=140, time=5.84634e+11/6.84189e+12, dt=4.17596e+09
Step=142, time=5.92986e+11/6.84189e+12, dt=4.17596e+09
Step=144, time=6.01338e+11/6.84189e+12, dt=4.17596e+09
Step=146, time=6.0969e+11/6.84189e+12, dt=4.17596e+09
Step=148, time=6.18042e+11/6.84189e+12, dt=4.17596e+09
Step=150, time=6.26394e+11/6.84189e+12, dt=4.17596e+09
Step=152, time=6.34745e+11/6.84189e+12, dt=4.17596e+09
Step=154, time=6.43097e+11/6.84189e+12, dt=4.17596e+09
Step=156, time=6.51449e+11/6.84189e+12, dt=4.17596e+09
Step=158, time=6.59801e+11/6.84189e+12, dt=4.17596e+09
Step=160, time=6.68153e+11/6.84189e+12, dt=4.17596e+09
Step=162, time=6.76505e+11/6.84189e+12, dt=4.17596e+09
Step=164, time=6.84857e+11/6.84189e+12, dt=4.17596e+09
Step=166, time=6.93209e+11/6.84189e+12, dt=4.17596e+09
Step=168, time=7.01561e+11/6.84189e+12, dt=4.17596e+09
Step=170, time=7.09913e+11/6.84189e+12, dt=4.17596e+09
Step=172, time=7.18265e+11/6.84189e+12, dt=4.17596e+09
Step=174, time=7.26617e+11/6.84189e+12, dt=4.17596e+09
Step=176, time=7.34968e+11/6.84189e+12, dt=4.17596e+09
Step=178, time=7.4332e+11/6.84189e+12, dt=4.17596e+09
Step=180, time=7.51672e+11/6.84189e+12, dt=4.17596e+09
Step=182, time=7.60024e+11/6.84189e+12, dt=4.17596e+09
Step=184, time=7.68376e+11/6.84189e+12, dt=4.17596e+09
Step=186, time=7.76728e+11/6.84189e+12, dt=4.17596e+09
Step=188, time=7.8508e+11/6.84189e+12, dt=4.17596e+09
Step=190, time=7.93432e+11/6.84189e+12, dt=4.17596e+09
Step=192, time=8.01784e+11/6.84189e+12, dt=4.17596e+09
Step=194, time=8.10136e+11/6.84189e+12, dt=4.17596e+09
Step=196, time=8.18488e+11/6.84189e+12, dt=4.17596e+09
Step=198, time=8.26839e+11/6.84189e+12, dt=4.17596e+09
Step=200, time=8.35191e+11/6.84189e+12, dt=4.17596e+09
Step=202, time=8.43543e+11/6.84189e+12, dt=4.17596e+09
Step=204, time=8.51895e+11/6.84189e+12, dt=4.17596e+09
Step=206, time=8.60247e+11/6.84189e+12, dt=4.17596e+09
Step=208, time=8.68599e+11/6.84189e+12, dt=4.17596e+09
Step=210, time=8.76951e+11/6.84189e+12, dt=4.17596e+09
Step=212, time=8.85303e+11/6.84189e+12, dt=4.17596e+09
Step=214, time=8.93655e+11/6.84189e+12, dt=4.17596e+09
Step=216, time=9.02007e+11/6.84189e+12, dt=4.17596e+09
Step=218, time=9.10359e+11/6.84189e+12, dt=4.17596e+09
Step=220, time=9.18711e+11/6.84189e+12, dt=4.17596e+09
Step=222, time=9.27062e+11/6.84189e+12, dt=4.17596e+09
Step=224, time=9.35414e+11/6.84189e+12, dt=4.17596e+09
Step=226, time=9.43766e+11/6.84189e+12, dt=4.17596e+09
Step=228, time=9.52118e+11/6.84189e+12, dt=4.17596e+09
Step=230, time=9.6047e+11/6.84189e+12, dt=4.17596e+09
Step=232, time=9.68822e+11/6.84189e+12, dt=4.17596e+09
Step=234, time=9.77174e+11/6.84189e+12, dt=4.17596e+09
Step=236, time=9.85526e+11/6.84189e+12, dt=4.17596e+09
Step=238, time=9.93878e+11/6.84189e+12, dt=4.17596e+09
Step=240, time=1.00223e+12/6.84189e+12, dt=4.17596e+09
Step=242, time=1.01058e+12/6.84189e+12, dt=4.17596e+09
Step=244, time=1.01893e+12/6.84189e+12, dt=4.17596e+09
