[GravityCollapse] Using gravity solver method = cooley_tukey
[GravityCollapse] Gravity solver completed in 0.000488635 seconds.
[GravityCollapse] Uniform-sphere potential check:
   L₁ = 7.8109e+14, L₂ = 8.53185e+14 (over 4096 cells)
Gravity is DISABLED, G: 6.67e-08
CFL=0.5, sound_crossings=409.6
Initial max wave speed= 0.748331, crossingTime= 2.67261e+11, totalTime= 1.0947e+14
HDF5 file written to: agoge_init.h5
Step=2, time=1.67038e+10/1.0947e+14, dt=8.35191e+09
Step=4, time=3.34077e+10/1.0947e+14, dt=8.35191e+09
Step=6, time=5.01115e+10/1.0947e+14, dt=8.35191e+09
Step=8, time=6.68153e+10/1.0947e+14, dt=8.35191e+09
Step=10, time=8.35191e+10/1.0947e+14, dt=8.35191e+09
Step=12, time=1.00223e+11/1.0947e+14, dt=8.35191e+09
Step=14, time=1.16927e+11/1.0947e+14, dt=8.35191e+09
Step=16, time=1.33631e+11/1.0947e+14, dt=8.35191e+09
Step=18, time=1.50334e+11/1.0947e+14, dt=8.35191e+09
Step=20, time=1.67038e+11/1.0947e+14, dt=8.35191e+09
Step=22, time=1.83742e+11/1.0947e+14, dt=8.35191e+09
Step=24, time=2.00446e+11/1.0947e+14, dt=8.35191e+09
Step=26, time=2.1715e+11/1.0947e+14, dt=8.35191e+09
Step=28, time=2.33854e+11/1.0947e+14, dt=8.35191e+09
Step=30, time=2.50557e+11/1.0947e+14, dt=8.35191e+09
Step=32, time=2.67261e+11/1.0947e+14, dt=8.35191e+09
Step=34, time=2.83965e+11/1.0947e+14, dt=8.35191e+09
Step=36, time=3.00669e+11/1.0947e+14, dt=8.35191e+09
Step=38, time=3.17373e+11/1.0947e+14, dt=8.35191e+09
Step=40, time=3.34077e+11/1.0947e+14, dt=8.35191e+09
Step=42, time=3.5078e+11/1.0947e+14, dt=8.35191e+09
Step=44, time=3.67484e+11/1.0947e+14, dt=8.35191e+09
Step=46, time=3.84188e+11/1.0947e+14, dt=8.35191e+09
Step=48, time=4.00892e+11/1.0947e+14, dt=8.35191e+09
Step=50, time=4.17596e+11/1.0947e+14, dt=8.35191e+09
Step=52, time=4.343e+11/1.0947e+14, dt=8.35191e+09
Step=54, time=4.51003e+11/1.0947e+14, dt=8.35191e+09
Step=56, time=4.67707e+11/1.0947e+14, dt=8.35191e+09
Step=58, time=4.84411e+11/1.0947e+14, dt=8.35191e+09
Step=60, time=5.01115e+11/1.0947e+14, dt=8.35191e+09
Step=62, time=5.17819e+11/1.0947e+14, dt=8.35191e+09
