Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	16.125244
1	SP GFLOPS	0.0
1	DP GFLOPS	1.916873
1	x87 GFLOPS	0.0
1	CPI Rate	0.902159
1	Average CPU Frequency	3594132361.493482
1	Total Thread Count	1
0	Effective CPU Utilization	2.4
1	Average Effective CPU Utilization	0.977 out of 40
0	Memory Bound	6.4
1	Cache Bound	
1	DRAM Bound	
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	226.000000	27.800000	4.976669	0.0
1	DRAM Single-Package, GB/sec	113.000000	26.700000	5.942236	0.0
0	Vectorization	4.5
1	Instruction Mix	
2	SP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
4	512-bit	0.0
3	Scalar	0.0
2	DP FLOPs	23.5
3	Packed	4.5
4	128-bit	4.5
4	256-bit	0.0
4	512-bit	0.0
3	Scalar	95.5
2	x87 FLOPs	0.0
2	Non-FP	76.5
1	FP Arith/Mem Rd Instr. Ratio	1.308965
1	FP Arith/Mem Wr Instr. Ratio	3.541703
0	Collection and Platform Info	
1	Application Command Line	../../agoge_run "../../problems/GravityCollapse-128-Eu.yaml" 
1	Operating System	5.15.0-126-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	dev-intel18
1	Result Size	29936223
1	Collection start time	03:02:18 09/02/2025 UTC
1	Collection stop time	03:02:34 09/02/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Skylake
2	Frequency	2394311857
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	113000000000.000000
2	LLC size	28835840
