Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	98.730887
1	SP GFLOPS	0.0
1	DP GFLOPS	2.579237
1	x87 GFLOPS	0.0
1	CPI Rate	0.703587
1	Average CPU Frequency	3629709678.412373
1	Total Thread Count	1
0	Effective CPU Utilization	2.3
1	Average Effective CPU Utilization	0.928 out of 40
0	Memory Bound	6.3
1	Cache Bound	25.6
1	DRAM Bound	19.1
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	224.000000	31.900000	2.746354	0.0
1	DRAM Single-Package, GB/sec	112.000000	29.700000	3.207203	0.0
0	Vectorization	44.5
1	Instruction Mix	
2	SP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
4	512-bit	0.0
3	Scalar	0.0
2	DP FLOPs	20.6
3	Packed	44.5
4	128-bit	44.5
4	256-bit	0.0
4	512-bit	0.0
3	Scalar	55.5
2	x87 FLOPs	0.0
2	Non-FP	79.4
1	FP Arith/Mem Rd Instr. Ratio	2.029075
1	FP Arith/Mem Wr Instr. Ratio	3.066822
0	Collection and Platform Info	
1	Application Command Line	../../agoge_run "../../problems/GravityCollapse-512-Gr.yaml" 
1	Operating System	5.15.0-126-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	dev-intel18
1	Result Size	152361906
1	Collection start time	03:04:26 09/02/2025 UTC
1	Collection stop time	03:06:04 09/02/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Skylake
2	Frequency	2394311829
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	112000000000.000000
2	LLC size	28835840
